term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
answer,3.0857022539976877,6.562462673742751,1.1838974458855065,0.05,3.004335853927003,3.6645938551628574,0.05,27.325412916101996,0.05000000011246129,8.71592548300086,9.650206429997391,0.05,3.4404244746025587,0.1668878651287644,26.572332066198097,0.05000000034420812,0.050000011980893745,2.222092432476558,0.050000000003211774,19.055726237301727
answers,0.05000000023263503,0.05000000010339985,1.3609691782536932,0.05,0.05,0.05000000124747423,0.05,5.033457179834804,0.05000000010360634,1.0499999999954912,5.487250967635872,0.05,0.17877996273090624,0.05,3.663928689578355,0.05000000009572116,0.05,0.050000000626749724,0.050000000009203745,3.575614019516983
anticipation,0.05,0.05,0.0500000005313615,0.05,0.05,0.05,0.05,3.7610088412122225,0.05,0.05000000023435183,0.05,0.05,0.580581888990815,1.5831911534563796,4.275218115038296,0.05,0.05000000005649961,0.05,0.05,0.05000000045390652
antidote,0.05000000014646756,0.05,0.05000895434772352,0.05,0.05,0.1406776925481375,0.05,2.488551361252385,0.05,0.05000000014450944,0.050000000113937154,0.05,0.05000151552095214,0.05,15.83034486607621,0.05,0.05,1.4274817013138328,0.05,0.3629339085053796
antidotes,0.05,0.05000000030440959,0.05,0.05,0.05,0.24704177804009342,0.05,0.9425762612644978,0.05,0.05000000007726929,0.05000000017235337,0.05,0.05,0.05000000003058232,12.960381959981147,0.05,0.05000000008303242,0.05,0.05,0.05000000002879794
anxiety,0.05,1.311867697020365,0.05,0.05,0.05,2.0316380044297238,0.05,6.013549209828736,0.05000000090446402,0.050000002736321124,0.05,0.05,0.05000000143577591,0.05,1.1846007014235616,0.05000000047046844,1.190848431646472,0.05000000003015019,0.05,2.5674959500311827
anybody,3.598253247873757,0.050000000239996185,1.2901423145924455,0.05,0.05,2.1988083941797627,0.05,13.643301516890881,0.050000000215614154,0.050680563126657294,5.2246260966157605,0.05,10.452407313868994,1.2765611765972846,36.80603149879383,0.05000000009786507,4.581067517234105,0.05000000013057634,0.05,4.428120359509507
anymore,0.05,0.0500000004777318,0.05,0.05,0.05000000139199765,0.05000000030755284,0.05,2.3130952757831182,0.05000000025700715,0.05000000114462626,0.3122989401471939,0.05,2.997371452853449,0.05,2.0602581340551187,0.05,0.05,0.050072972896749356,0.050000000030175254,4.566903220617598
apart,0.05000000167642452,0.050000000245329655,0.05,0.05,0.05,0.0500000003952178,0.05,0.05,0.05,0.050079382422332494,1.0174543242800038,0.05,2.2716989038626414,0.05,0.09379133593785133,0.05,1.4566821352554626,0.05,0.05,3.410293915885919
apologies,0.05,0.05,0.05,0.05,0.05,0.050000001044559525,0.05,0.05000000107057178,0.050000001015970734,0.05,1.0729504309841924,0.05,4.023894573333955,1.0500000000259966,1.0531549910622096,0.05,0.05,0.05,0.05000000009256649,0.050000001338363735
