term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
reading,-0.00620830932458297,0.04215092850188925,-0.025743748752540003,-0.013986035729588382,0.011560538975099387,-0.01587702858680163,-0.011654357271115924,0.0018895271648615383,-0.006290976589003144,-0.028250323752952427
live,0.026274106856610184,-0.020418336669331322,-0.0036917086772821706,0.004063439764071821,0.0011727249157524593,0.005494642267101173,-0.007813235413128316,0.013287789253948778,0.010928961594033238,0.001702852991805684
teachers,-0.030476942954133602,0.031748913408329346,0.038416528454320704,-0.01956703404421905,0.06853337591315037,0.008073447393954662,-0.002809113535737544,-0.012366498738180135,0.01202625776942756,0.029243424641060996
follow,-0.016290061713045003,-0.0015976320995401921,0.023350962335320618,0.007712292327693642,0.023130421390232667,0.0004701764232343533,-0.011474817748095289,0.006000554408064919,0.0005876775359560444,-0.0030719990942169127
finger,0.023524834918646244,-0.004356547445680239,-0.017348604803265787,-0.0010845825799436963,-0.013531040387338659,-0.004569069629548127,0.004524894546953654,-0.011989879591881197,0.005878371424777156,7.946609987898056e-05
highly,0.0003434302996303253,0.023726452691520017,-0.01609674103802137,-0.008453602923890437,0.008268805978742313,-0.009799138443265593,-0.028305511974700034,0.002787536311490914,-0.012429335852923369,-0.020580892899148467
stuck,0.009010531322646686,-0.002311283387983916,-0.013387728031870265,0.036806209545560985,-0.0002007133732847082,0.005916266258204446,-0.008823192793994848,0.010029077043469444,-0.016590961596213264,-0.010384977354213787
determined,0.01953496023627838,0.008637395578188834,0.0039910916903562604,-0.025480473527892088,-0.006141273940933453,-0.04836727680840622,-0.0101134747856349,-0.02171347091832179,0.031292829675323645,-0.009182873712430921
muttering,-0.011215372452568591,0.016182174326263808,0.007795231725743718,0.008333405444312837,0.001992754356599818,-0.0028531941890046634,-0.03249651482945265,0.0028680892306648955,0.00881048529918894,0.026864651006444654
marble,-0.0054196678144972504,-0.01607609528658286,0.03853922508214559,-0.018027737166153104,0.05290276249444485,0.008788111691511623,0.008028637318866797,-0.03500014681023137,-0.022421965433843012,0.03184346322895441
tomorrow,-0.007666610299411907,0.03597232273182238,-0.019057322432909092,0.02614119459595708,-0.008596304331546433,-0.0197379677861419,0.006075570787752726,-0.014522446961398079,0.0012788435583158022,0.0024901850956973743
lifted,0.0159601119962679,-0.021981453386379253,0.02564883841686811,-0.004403020082932815,0.022376764741671395,-0.005183431118590708,0.011596992112304479,0.01260769907417096,-0.009189228864045029,-0.01902507801151554
fighting,0.022206951578736908,-0.03827923872515289,0.04524100761381726,0.015549262711946505,0.030001798045207875,-0.010836433958017862,-0.0213013918001101,-0.0065190742801514,-0.03945180073180034,0.007843362559236783
furious,-0.009818002273460906,0.02160900953436581,-0.0069635575801674605,0.011597927634672607,-0.013130042962867539,-0.008274108031104626,-0.009585054407726076,0.02287698534151558,-0.011761518840531197,0.00020222912328919825
picture,0.003943787174718784,0.005501136795370021,-0.053687650341305654,0.002024642026949472,-0.004647978064239261,-0.03672777348352659,-0.014131709494498757,-0.0053695424105049995,0.0034430848745298677,-0.0013244515940276343
hiding,0.011437137924998161,-0.014838353516621517,-0.005032200730713814,-0.0034344197522069536,0.014108934834740745,-0.02138326824143725,-0.04706495197043765,0.003424620904421076,-0.0019261003470227968,0.02122095430728199
power,0.05051751433558053,-0.04087093360964622,-0.002357148698983032,-0.0564876522380066,-0.04528169136534941,-0.023734597516020594,-0.09339570437582108,-0.011715805023327915,0.06648040122175794,0.04486454053072648
using,0.01217443485890775,0.01309575593500122,-0.0016190648693328246,-0.00875227968393013,-0.0065431947045885225,-0.004616937335525093,-0.023079936554905128,-0.021714873990292143,-0.0038593427451294043,-0.0203332221256859
